Wall time,Step,Value
1571746665.686015,0,0.5590152740478516
1571746911.760938,1,0.22140467166900635
1571747157.32632,2,0.2216443419456482
1571747401.484693,3,0.22492729127407074
1571751755.59837,4,0.24356354773044586
1571752001.297924,5,0.25187209248542786
1571752245.070305,6,0.26720765233039856
1571752484.089387,7,0.18001681566238403
1571752723.324527,8,0.16905754804611206
1571752962.492945,9,0.1651933342218399
1571753201.601846,10,0.1385803371667862
1571753440.533846,11,0.13338014483451843
1571753679.50434,12,0.13808844983577728
1571753918.484592,13,0.13092546164989471
1571754157.343775,14,0.12506084144115448
1571754396.454822,15,0.1288999319076538
1571754635.477591,16,0.12416018545627594
1571754874.523224,17,0.12283404171466827
1571755113.340897,18,0.12041409313678741
1571755352.55159,19,0.12359616160392761
1571755592.012208,20,0.12160766124725342
1571755831.570814,21,0.12614881992340088
1571756070.360169,22,0.1242859810590744
1571756310.441633,23,0.12631000578403473
1571756549.747187,24,0.11731758713722229
1571756788.762861,25,0.11750674247741699
1571757027.597399,26,0.12280330806970596
1571757267.259535,27,0.12456610053777695
1571757506.913569,28,0.12854880094528198
1571757745.831556,29,0.12158171832561493
